route_id,fare_product,cabin_class,amount_yen,valid_from,valid_to,source_label
HND-ITM-DEMO,SKYMATE,ECONOMY,9500,2026-01-01,2027-12-31,デモ用サンプル運賃
HND-ITM-DEMO,JAL_CARD_SKYMATE,ECONOMY,7000,2026-01-01,2027-12-31,デモ用サンプル運賃
HND-CTS-DEMO,SKYMATE,ECONOMY,11500,2026-01-01,2027-12-31,デモ用サンプル運賃
HND-CTS-DEMO,JAL_CARD_SKYMATE,ECONOMY,8500,2026-01-01,2027-12-31,デモ用サンプル運賃
HND-FUK-DEMO,SKYMATE,ECONOMY,12500,2026-01-01,2027-12-31,デモ用サンプル運賃
HND-FUK-DEMO,JAL_CARD_SKYMATE,ECONOMY,9000,2026-01-01,2027-12-31,デモ用サンプル運賃
HND-OKA-DEMO,SKYMATE,ECONOMY,16500,2026-01-01,2027-12-31,デモ用サンプル運賃
HND-OKA-DEMO,JAL_CARD_SKYMATE,ECONOMY,12500,2026-01-01,2027-12-31,デモ用サンプル運賃
HND-KOJ-DEMO,SKYMATE,ECONOMY,12000,2026-01-01,2027-12-31,デモ用サンプル運賃
HND-KOJ-DEMO,JAL_CARD_SKYMATE,ECONOMY,8800,2026-01-01,2027-12-31,デモ用サンプル運賃
HND-KMQ-DEMO,SKYMATE,ECONOMY,9800,2026-01-01,2027-12-31,デモ用サンプル運賃
HND-KMQ-DEMO,JAL_CARD_SKYMATE,ECONOMY,7200,2026-01-01,2027-12-31,デモ用サンプル運賃
HND-NGO-DEMO,SKYMATE,ECONOMY,9000,2026-01-01,2027-12-31,デモ用サンプル運賃
HND-NGO-DEMO,JAL_CARD_SKYMATE,ECONOMY,6800,2026-01-01,2027-12-31,デモ用サンプル運賃
