route_id,flight_no,departure_time,arrival_time,operating_days,valid_from,valid_to
HND-ITM-DEMO,JL-D101,06:30,07:35,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
HND-ITM-DEMO,JL-D117,12:30,13:35,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
HND-ITM-DEMO,JL-D139,19:10,20:15,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
HND-CTS-DEMO,JL-D501,07:20,08:55,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
HND-CTS-DEMO,JL-D515,13:40,15:15,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
HND-CTS-DEMO,JL-D529,18:30,20:05,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
HND-FUK-DEMO,JL-D303,06:50,08:45,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
HND-FUK-DEMO,JL-D319,12:10,14:05,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
HND-FUK-DEMO,JL-D335,18:15,20:10,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
HND-OKA-DEMO,JL-D901,07:00,09:50,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
HND-OKA-DEMO,JL-D915,14:10,17:00,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
HND-KOJ-DEMO,JL-D641,08:05,09:55,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
HND-KOJ-DEMO,JL-D653,15:15,17:05,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
HND-KMQ-DEMO,JL-D183,08:30,09:35,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
HND-KMQ-DEMO,JL-D191,16:45,17:50,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
HND-NGO-DEMO,JL-D201,09:15,10:15,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
HND-NGO-DEMO,JL-D209,17:25,18:25,"0,1,2,3,4,5,6",2026-01-01,2027-12-31
